"filename", "language", "HTML", "JavaScript", "Markdown", "CSS", "JSON", "comment", "blank", "total"
"d:\Node.js Course Projects\Shop App 2\README.md", "Markdown", 0, 0, 73, 0, 0, 0, 0, 73
"d:\Node.js Course Projects\Shop App 2\app.js", "JavaScript", 0, 67, 0, 0, 0, 0, 14, 81
"d:\Node.js Course Projects\Shop App 2\controllers\admin.js", "JavaScript", 0, 123, 0, 0, 0, 3, 25, 151
"d:\Node.js Course Projects\Shop App 2\controllers\auth.js", "JavaScript", 0, 237, 0, 0, 0, 0, 39, 276
"d:\Node.js Course Projects\Shop App 2\controllers\error.js", "JavaScript", 0, 7, 0, 0, 0, 0, 1, 8
"d:\Node.js Course Projects\Shop App 2\controllers\shop.js", "JavaScript", 0, 115, 0, 0, 0, 0, 9, 124
"d:\Node.js Course Projects\Shop App 2\data\cart.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Node.js Course Projects\Shop App 2\data\products.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Node.js Course Projects\Shop App 2\middleware\is-auth.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 6
"d:\Node.js Course Projects\Shop App 2\models\order.js", "JavaScript", 0, 22, 0, 0, 0, 0, 4, 26
"d:\Node.js Course Projects\Shop App 2\models\product.js", "JavaScript", 0, 26, 0, 0, 0, 72, 11, 109
"d:\Node.js Course Projects\Shop App 2\models\user.js", "JavaScript", 0, 59, 0, 0, 0, 117, 20, 196
"d:\Node.js Course Projects\Shop App 2\package-lock.json", "JSON", 0, 0, 0, 0, 10392, 0, 1, 10393
"d:\Node.js Course Projects\Shop App 2\package.json", "JSON", 0, 0, 0, 0, 35, 0, 1, 36
"d:\Node.js Course Projects\Shop App 2\public\css\auth.css", "CSS", 0, 0, 0, 6, 0, 0, 1, 7
"d:\Node.js Course Projects\Shop App 2\public\css\cart.css", "CSS", 0, 0, 0, 22, 0, 0, 4, 26
"d:\Node.js Course Projects\Shop App 2\public\css\forms.css", "CSS", 0, 0, 0, 23, 0, 0, 5, 28
"d:\Node.js Course Projects\Shop App 2\public\css\main.css", "CSS", 0, 0, 0, 221, 0, 0, 40, 261
"d:\Node.js Course Projects\Shop App 2\public\css\orders.css", "CSS", 0, 0, 0, 25, 0, 0, 5, 30
"d:\Node.js Course Projects\Shop App 2\public\css\product.css", "CSS", 0, 0, 0, 23, 0, 0, 4, 27
"d:\Node.js Course Projects\Shop App 2\public\js\main.js", "JavaScript", 0, 13, 0, 0, 0, 0, 4, 17
"d:\Node.js Course Projects\Shop App 2\routes\admin.js", "JavaScript", 0, 23, 0, 0, 0, 3, 15, 41
"d:\Node.js Course Projects\Shop App 2\routes\auth.js", "JavaScript", 0, 58, 0, 0, 0, 2, 14, 74
"d:\Node.js Course Projects\Shop App 2\routes\shop.js", "JavaScript", 0, 13, 0, 0, 0, 0, 13, 26
"d:\Node.js Course Projects\Shop App 2\util\path.js", "JavaScript", 0, 2, 0, 0, 0, 0, 1, 3
"d:\Node.js Course Projects\Shop App 2\views\404.ejs", "HTML", 6, 0, 0, 0, 0, 0, 2, 8
"d:\Node.js Course Projects\Shop App 2\views\admin\edit-product.ejs", "HTML", 45, 0, 0, 0, 0, 0, 1, 46
"d:\Node.js Course Projects\Shop App 2\views\admin\products.ejs", "HTML", 42, 0, 0, 0, 0, 0, 4, 46
"d:\Node.js Course Projects\Shop App 2\views\auth\login.ejs", "HTML", 31, 0, 0, 0, 0, 0, 3, 34
"d:\Node.js Course Projects\Shop App 2\views\auth\new-password.ejs", "HTML", 25, 0, 0, 0, 0, 0, 5, 30
"d:\Node.js Course Projects\Shop App 2\views\auth\reset.ejs", "HTML", 22, 0, 0, 0, 0, 0, 3, 25
"d:\Node.js Course Projects\Shop App 2\views\auth\signup.ejs", "HTML", 34, 0, 0, 0, 0, 0, 1, 35
"d:\Node.js Course Projects\Shop App 2\views\includes\add-to-cart.ejs", "HTML", 5, 0, 0, 0, 0, 0, 0, 5
"d:\Node.js Course Projects\Shop App 2\views\includes\end.ejs", "HTML", 3, 0, 0, 0, 0, 0, 1, 4
"d:\Node.js Course Projects\Shop App 2\views\includes\head.ejs", "HTML", 8, 0, 0, 0, 0, 0, 1, 9
"d:\Node.js Course Projects\Shop App 2\views\includes\navigation.ejs", "HTML", 89, 0, 0, 0, 0, 0, 1, 90
"d:\Node.js Course Projects\Shop App 2\views\shop\cart.ejs", "HTML", 35, 0, 0, 0, 0, 0, 2, 37
"d:\Node.js Course Projects\Shop App 2\views\shop\checkout.ejs", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Node.js Course Projects\Shop App 2\views\shop\index.ejs", "HTML", 35, 0, 0, 0, 0, 0, 2, 37
"d:\Node.js Course Projects\Shop App 2\views\shop\orders.ejs", "HTML", 24, 0, 0, 0, 0, 0, 1, 25
"d:\Node.js Course Projects\Shop App 2\views\shop\product-detail.ejs", "HTML", 17, 0, 0, 0, 0, 0, 1, 18
"d:\Node.js Course Projects\Shop App 2\views\shop\product-list.ejs", "HTML", 40, 0, 0, 0, 0, 0, 2, 42
"Total", "-", 461, 771, 73, 320, 10429, 197, 262, 12513
